Referee,Games_Officiated,Total_Travel_Miles,Avg_Miles_Per_Trip,Unique_Venues,Unique_States,Most_Visited_Venue,Times_At_Most_Visited,Venue_Diversity_Ratio,Max_Single_Trip
Jeffery Malham,23,12068.03,548.55,15,8,"SimpliFi Arena at Stan Sheriff Center (Honolulu, HI)",4,0.65,1730.11
Thomas Nunez,29,11898.83,424.96,17,14,"Arena-Auditorium (Laramie, WY)",4,0.59,1813.86
Daniel Nguyen,18,11744.47,690.85,17,13,"Save Mart Center (Fresno, CA)",2,0.94,2127.97
Mark Schnur,57,11564.26,206.5,41,14,"McCamish Pavilion (Atlanta, GA)",3,0.72,2512.88
Trey Styons,46,11413.98,253.64,30,10,"Gilbert Craig Gore Arena (Buies Creek, NC)",4,0.65,2279.56
Tucson Grigg,24,11375.29,494.58,17,11,"Mitchell Center (Mobile, AL)",4,0.71,1598.69
Pete Larson,34,11373.28,344.64,28,13,"Wintrust Arena (Chicago, IL)",2,0.82,1930.89
Galen Durant,29,11218.32,400.65,22,17,"Williams Arena (Minneapolis, MN)",2,0.76,1535.56
Shane Land,41,11024.92,275.62,30,13,"UNF Arena (Jacksonville, FL)",3,0.73,1240.73
John Johnson,32,10854.35,350.14,25,11,"Moody Center (Austin, TX)",2,0.78,1205.67
James Curran,39,10772.4,283.48,22,12,"Pan American Center (Las Cruces, NM)",4,0.56,1417.35
Kellen Miliner,51,10685.7,213.71,39,14,"Littlejohn Coliseum (Clemson, SC)",3,0.76,2394.49
Michael Swoboda,38,10668.31,288.33,31,16,"McAlister Field House (Charleston, SC)",2,0.82,1508.97
Adam Flore,51,10624.69,212.49,40,16,"Elridge Wilburn Blake Sports and Fitness Center (Charlotte Amalie West, Vir Isl)",3,0.78,2273.36
Mike Pearson,29,10369.13,370.33,24,16,"Resch Center (Green Bay, WI)",4,0.83,1567.29
Blanca Burns,22,10334.02,492.1,20,13,"The Pit (Albuquerque, NM)",2,0.91,2057.11
Kevin Raher,29,10327.34,368.83,20,11,"First Bank & Trust Arena (Brookings, SD)",3,0.69,1050.33
Ian Caldwell,24,10191.32,443.1,20,16,"Save Mart Center (Fresno, CA)",3,0.83,1747.07
Chris Ford,38,10132.31,273.85,26,14,"Donald W. Reynolds Center (Tulsa, OK)",3,0.68,996.84
Eric Lewis,51,10067.87,201.36,25,15,"Dean Smith Center (Chapel Hill, NC)",5,0.49,1257.36
Chase Shaw,55,9903.15,183.39,43,18,"Thomas M. Ryan Center (Kingston, RI)",3,0.78,1175.28
Greg Nixon,10,9850.12,1094.46,8,6,"Redhawk Center (Seattle, WA)",3,0.8,1973.08
Randal Anders,32,9681.03,312.29,22,9,"College Park Center (Arlington, TX)",3,0.69,1741.49
Donta Carter,33,9676.53,302.39,26,13,"Pete Hanna Center (Homewood, AL)",3,0.79,1370.82
DG Nelson,38,9523.17,257.38,24,10,"CU Events Center (Boulder, CO)",3,0.63,1615.04
Tony Meeks,35,9440.95,277.67,24,12,"McGuirk Arena (Mount Pleasant, MI)",3,0.69,1305.09
Steve McJunkins,52,9390.19,184.12,37,18,"Henry J. Goodman Arena (Cleveland, OH)",3,0.71,1574.25
Bill Ek,30,9277.33,319.91,23,10,"Stroh Center (Bowling Green, OH)",3,0.77,1891.61
Jeff Pon,45,9233.82,209.86,37,16,"Robins Center (Richmond, VA)",3,0.82,1735.21
Michael Kitts,41,9210.59,230.26,34,15,"Koessler Athletic Center (Buffalo, NY)",4,0.83,2545.85
Ryan Christian,31,9188.67,306.29,20,8,"Holmes Convocation Center (Boone, NC)",3,0.65,1969.66
Jose Carrion,25,9135.46,380.64,18,11,"Physical Education Complex (Baltimore, MD)",3,0.72,1416.94
Chris Pacsi,31,9084.14,302.8,22,12,"Gallagher-Iba Arena (Stillwater, OK)",4,0.71,1424.44
Ryan Holmes,29,9057.52,323.48,19,8,"Reed Gym (Pocatello, ID)",4,0.66,2054.38
Ed Crenshaw,44,8818.33,205.08,27,10,"SimpliFi Arena at Stan Sheriff Center (Honolulu, HI)",3,0.61,1730.11
Erroll Lewis,40,8741.2,224.13,35,13,"Lee E. Williams Athletics and Assembly Center (Jackson, MS)",3,0.88,1240.41
Tariq Lucas,37,8679.49,241.1,28,13,"UPMC Events Center (Carnot-Moon, PA)",4,0.76,908.09
Michael Griffith,22,8678.8,413.28,15,9,"Stroh Center (Bowling Green, OH)",3,0.68,1127.15
Bharat Ramnanan,54,8581.48,161.91,37,14,"Legacy Center (Lake Charles, LA)",4,0.69,1004.74
Christopher Merlo,30,8521.21,293.83,25,15,"Addition Financial Arena (Orlando, FL)",2,0.83,2322.27
James Ford,41,8463.45,211.59,34,15,"UTRGV Fieldhouse (Edinburg, TX)",5,0.83,1793.77
Robert Felder,42,8436.09,205.76,28,16,"Ford Center (Evansville, IN)",4,0.67,1639.68
Steve Divine,27,8428.05,324.16,22,12,"Athletics-Recreation Center (Valparaiso, IN)",3,0.81,1777.11
Michael Roberts,50,8350.73,170.42,38,19,"Cintas Center (Cincinnati, OH)",5,0.76,904.23
Bill Covington Jr.,39,8347.56,219.67,26,12,"JMA Wireless Dome (Syracuse, NY)",4,0.67,1134.27
Johnee Gleich,19,8305.98,461.44,15,10,"UPMC Events Center (Carnot-Moon, PA)",3,0.79,2083.67
Blake Harris,40,8266.88,211.97,25,13,"Hertz Arena (Estero, FL)",3,0.62,1042.6
Greg Gerritsen,31,8228.28,274.28,25,14,"Resch Center (Green Bay, WI)",3,0.81,1875.09
Craig Murley,15,8170.4,583.6,14,10,"CEFCU Arena (Normal, IL)",2,0.93,2711.42
Ed Corliss,63,8033.21,129.57,44,14,"Capital One Arena (Washington, DC)",5,0.7,1081.54
Jim Bruno,32,8017.0,258.61,20,10,"Alumni Arena (Buffalo, NY)",3,0.62,2053.77
AJ Desai,33,8001.39,250.04,25,13,"Purcell Pavilion at the Joyce Center (Notre Dame, IN)",3,0.76,2450.39
Anthony Jordan,35,7977.94,234.65,24,12,"Halton Arena (Charlotte, NC)",4,0.69,1013.83
Janetta Graham,15,7956.61,568.33,12,10,"Lawlor Events Center (Reno, NV)",2,0.8,2484.71
Gene Grimshaw,37,7923.38,220.09,22,14,"College Park Center (Arlington, TX)",4,0.59,1289.63
Greg Langsdorf,20,7917.01,416.68,11,8,"Memorial Athletic and Convocation Center (Kent, OH)",4,0.55,954.37
Anthony Eades,49,7649.29,159.36,38,14,"Ocean Center (Daytona Beach, FL)",3,0.78,2228.81
Leon Wilson,15,7568.24,540.59,11,9,"Baxter Arena (Omaha, NE)",3,0.73,790.98
Kenneth Moreland,24,7545.93,328.08,18,11,"Betty Engelstad Sioux Center (Grand Forks, ND)",3,0.75,1060.77
Jeff Campbell,36,7225.26,206.44,21,8,"SimpliFi Arena at Stan Sheriff Center (Honolulu, HI)",3,0.58,1634.73
Dan Powers,25,7003.89,291.83,21,13,"Cameron Hall (Lexington, VA)",3,0.84,1169.01
Mike Palau,62,6950.56,113.94,41,16,"Capital One Arena (Washington, DC)",5,0.66,733.63
Chris Beaver,36,6889.21,196.83,18,8,"Millett Hall (Oxford, OH)",5,0.5,697.37
King Whetstone,22,6794.21,323.53,17,10,"UPMC Events Center (Carnot-Moon, PA)",3,0.77,908.09
Nathan Hall,61,6792.2,113.2,40,15,"The Palestra (Philadelphia, PA)",3,0.66,992.02
Chris Hudson,33,6741.66,210.68,25,14,"Lee's Family Forum (Henderson, NV)",3,0.76,1567.82
Ron Tyburski,32,6718.24,216.72,23,14,"Alumni Arena (Buffalo, NY)",3,0.72,1294.04
Allen Sutton,13,6657.75,554.81,12,9,"Liberty Arena (Lynchburg, VA)",2,0.92,1453.56
Bret Wegenke,9,6612.65,826.58,8,6,"Sanford Coyote Sports Center (Vermillion, SD)",2,0.89,1374.98
Jason Deering,37,6472.9,179.8,31,12,"Allen Arena (Nashville, TN)",4,0.84,947.64
Hunter Allen,39,6433.08,169.29,29,11,"F&M Bank Arena (Clarksville, TN)",3,0.74,1168.36
Brian McAnally,18,6311.45,371.26,7,7,"Mabee Center (Tulsa, OK)",4,0.39,821.89
"Bill Covington, Jr.",17,6276.33,392.27,14,9,"John Paul Jones Arena (Charlottesville, VA)",2,0.82,2473.35
Jeff Spedoske,21,6240.19,312.01,15,7,"Read Fieldhouse/University Arena (Kalamazoo, MI)",2,0.71,1374.98
Devyn Page,33,6142.47,191.95,27,12,"Ocean Bank Convocation Center (Miami, FL)",2,0.82,1204.97
Scott Arbogast,17,6125.04,382.82,13,9,"Truist Arena (Highland Heights, KY)",3,0.76,1848.31
Justin Shamion,37,6124.43,170.12,28,11,"Dahlberg Arena (Missoula, MT)",4,0.76,1615.48
Rob Rorke,47,6076.86,132.11,33,15,"The HTC Center (Conway, SC)",4,0.7,849.03
Daryl Gelinas,16,6057.93,403.86,11,6,"Clune Arena (U.S. Air Force Academy, CO)",2,0.69,2108.2
R.B. Clyburn,31,6045.8,201.53,24,14,"CB&S Bank Arena at Flowers Hall (Florence, AL)",4,0.77,770.71
Sean Hull,58,5983.96,104.98,37,12,"UPMC Cooper Fieldhouse (Pittsburgh, PA)",4,0.64,819.04
Alex Landis,23,5970.05,271.37,18,12,"Henry J. Goodman Arena (Cleveland, OH)",3,0.78,1823.1
Eric Lowe,32,5953.88,192.06,21,10,"Allen Arena (Nashville, TN)",2,0.66,1042.6
Julian Scott,13,5937.18,494.77,10,7,"Joseph G. Echols Memorial Hall (Norfolk, VA)",2,0.77,2507.32
Ben Stirt,47,5900.33,128.27,34,12,"The HTC Center (Conway, SC)",3,0.72,2219.38
Michael Wallace,47,5891.28,128.07,37,14,"KSU Convocation Center (Kennesaw, GA)",3,0.79,1407.8
Roland Simmons,24,5782.41,251.41,18,8,"Athletics-Recreation Center (Valparaiso, IN)",3,0.75,1742.09
James Gibson,33,5780.16,180.63,23,14,"Hertz Arena (Estero, FL)",3,0.7,1598.69
Kevin Mathis,21,5778.52,288.93,13,9,"Don Haskins Center (El Paso, TX)",3,0.62,1240.41
Jeffery Clark,40,5680.69,145.66,29,15,"JMA Wireless Dome (Syracuse, NY)",3,0.72,1224.26
K.B. Burdett Jr.,31,5611.85,187.06,22,13,"Coleman Coliseum (Tuscaloosa, AL)",3,0.71,1480.14
KB Burdett Jr.,13,5475.39,456.28,9,6,"Mizzou Arena (Columbia, MO)",2,0.69,1598.69
Tim Smith,60,5431.88,92.07,44,16,"Hinkle Fieldhouse (Indianapolis, IN)",3,0.73,809.7
Damon Williams,19,5421.57,301.2,15,10,"Freedom Hall (Johnson City, TN)",2,0.79,1230.93
Stephen Orkus Jr.,20,5343.44,281.23,14,8,"David R. Stopher Gymnasium (Thibodaux, LA)",2,0.7,803.73
KB Burdett,10,5290.13,587.79,10,5,"Toyota Center (Houston, TX)",1,1.0,1002.57
Michael Husted,33,5166.26,161.45,20,10,"CB&S Bank Arena at Flowers Hall (Florence, AL)",4,0.61,803.73
Rob Riley,32,5011.14,161.65,28,14,"Simon Skjodt Assembly Hall (Bloomington, IN)",2,0.88,959.33
Luke Chittum,26,4973.31,198.93,15,10,"Farris Center (Conway, AR)",5,0.58,757.55
Mike Nance,45,4957.75,112.68,37,13,"Hanner Fieldhouse (Statesboro, GA)",2,0.82,764.38
Mike Millione,42,4886.11,119.17,29,10,"Sojka Pavilion (Lewisburg, PA)",5,0.69,602.15
RJ Johnson,17,4857.04,303.56,15,9,"Field House (Commerce, TX)",2,0.88,1432.23
Matt Jarman,33,4773.73,149.18,27,12,"Halton Arena (Charlotte, NC)",2,0.82,792.64
Jenna Reneau,8,4758.99,679.86,7,6,"Maples Pavilion (Stanford, CA)",2,0.88,2380.15
John Jenkins Jr.,11,4743.61,474.36,10,7,"Gallagher-Iba Arena (Stillwater, OK)",2,0.91,1972.97
Brian Shore,11,4740.29,474.03,9,5,"First Bank & Trust Arena (Brookings, SD)",2,0.82,1237.56
Jon Campbell,12,4720.87,429.17,11,7,"Read Fieldhouse/University Arena (Kalamazoo, MI)",2,0.92,1856.67
Jason Garretson,45,4691.67,106.63,31,12,"Maples Pavilion (Stanford, CA)",4,0.69,742.59
Cody Crum,33,4652.99,145.41,25,12,"Western Hall (Macomb, IL)",4,0.76,1503.66
Connor Mooney,34,4631.32,140.34,29,11,"Pizzitola Sports Center (Providence, RI)",2,0.85,814.34
Ervin Wilson,33,4575.33,142.98,18,8,"SimpliFi Arena at Stan Sheriff Center (Honolulu, HI)",4,0.55,1757.48
DJ Carstensen,23,4505.64,204.8,15,12,"Jersey Mike's Arena (Piscataway, NJ)",3,0.65,1163.38
David Hall,18,4491.31,264.19,15,7,"Jenny Craig Pavilion (San Diego, CA)",2,0.83,1058.18
Jeffrey Clark,21,4370.14,218.51,18,10,"JMA Wireless Dome (Syracuse, NY)",2,0.86,926.33
Chuck McCoy,34,4280.35,129.71,25,10,"CB&S Bank Arena at Flowers Hall (Florence, AL)",4,0.74,1037.37
Mike Roberts,16,4228.33,281.89,11,7,"Atlantis Resort (Paradise Island, Bahamas)",4,0.69,783.98
Antonio Petty,12,4210.6,382.78,10,9,"Wisdom Gymnasium (Stephenville, TX)",2,0.83,1319.9
Larry Scirroto,2,4207.67,4207.67,2,2,"Lahaina Civic Center (Lahaina, HI)",1,1.0,4207.67
Chris Chumley,21,4070.98,203.55,15,10,"Farris Center (Conway, AR)",4,0.71,787.88
Joe Switzer,39,3981.75,104.78,27,10,"Kaplan Arena (Williamsburg, VA)",4,0.69,422.01
Mike Nardone,51,3951.58,79.03,38,13,"Chesapeake Employers Insurance Arena (Baltimore, MD)",3,0.75,733.21
Sean Casady,26,3870.77,154.83,16,10,"Donald W. Reynolds Center (Tulsa, OK)",3,0.62,1155.67
Nathan Bemis,20,3830.96,201.63,14,11,"Farris Center (Conway, AR)",4,0.7,807.29
Matthew Rukasin,37,3780.01,105.0,24,11,"Global Credit Union Arena (Phoenix, AZ)",3,0.65,725.83
Steve Devine,7,3770.91,628.49,6,5,"CFSB Center (Murray, KY)",2,0.86,1627.95
Jermaine Rogers,23,3695.49,167.98,18,11,"The Jungle (Indianapolis, IN)",3,0.78,681.69
Jabir Walker,14,3677.91,282.92,10,7,"Knights Hall (Louisville, KY)",3,0.71,1599.23
Jeff Anderson,6,3650.24,730.05,5,4,"TD Arena (Charleston, SC)",2,0.83,1808.58
Grant Jeffres,23,3646.79,165.76,16,8,"UCCU Center (Orem, UT)",4,0.7,1625.51
Ryan McCarty,5,3638.2,909.55,3,3,"Don Haskins Center (El Paso, TX)",2,0.6,1212.73
Juan Corral,15,3576.42,255.46,10,7,"Save Mart Center (Fresno, CA)",3,0.67,1875.09
Leslie Jones,34,3561.61,107.93,22,9,"Joan Perry Brock Center (Farmville, VA)",6,0.65,1219.39
